,Unnamed: 0,type,rcvTime,sendTime,sender,messageID,RSSI,pos_0,pos_1,pos_2,spd_0,spd_1,spd_2,spd_noise_0,spd_noise_1,spd_noise_2,pos_noise_0,pos_noise_1,pos_noise_2,type_attack
4,4,3,10800.392893331087,10800.392784793165,13.0,38.0,1.115287211193831e-07,3597.1520859538705,5542.199221013564,1.895,-3.178365760312756,38.7989694164331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6,6,3,10800.456257969776,10800.456150335958,31.0,104.0,3.218739521509698e-09,3596.8058614714364,5692.1134167356,1.895,1.2824674250276291,-29.864002810956773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8,8,3,10800.582131455656,10800.58201979124,25.0,137.0,2.900247942261562e-09,3597.77049261071,5764.800892637684,1.895,-0.020161171020262002,-34.568847861282705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10,10,3,10800.670748173432,10800.6706378737,43.0,172.0,1.746130740340401e-08,3822.8920061526037,5266.806009069768,1.895,1.30536212587596,-0.9887296651368701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
13,13,3,10800.870127664492,10800.870012145257,19.0,193.0,3.710397785411857e-07,3617.100033807479,5417.782781289675,1.895,4.9379503396949564,-39.87757802978829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
19,19,3,10801.392901556192,10801.392784793165,13.0,257.0,2.492011655646751e-08,3593.982139694547,5580.895411836837,1.895,-3.166224942512135,38.65076393787597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
21,21,3,10801.456265790384,10801.456150335958,31.0,317.0,9.640261643785642e-09,3598.0910889609227,5662.1851420599705,1.895,1.282719421597081,-29.869870894753344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
23,23,3,10801.582126247231,10801.58201979124,25.0,350.0,8.708451187475431e-09,3598.458786986237,5730.5230103800095,1.895,1.459861591293167,-34.0257489797638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,25,3,10801.670756171652,10801.6706378737,43.0,381.0,1.12642577828173e-08,3825.1961086986253,5265.1973348684,1.895,3.057783376452038,-2.2014119284437212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28,28,3,10801.870118306302,10801.870012145257,19.0,410.0,5.939836493343719e-09,3622.053411372471,5377.780617077725,1.895,4.947129899297883,-39.95170971986224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
34,34,3,10802.392895062769,10802.392784793165,13.0,439.0,2.2692792540808157e-09,3590.8061736716168,5619.665087161795,1.895,-3.174213872618352,38.74828646303853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
36,36,3,10802.456258892427,10802.456150335958,31.0,493.0,2.540990995999349e-09,3599.8680687225988,5632.305432029379,1.895,2.507947203533661,-29.791207268132045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38,38,3,10802.582132323316,10802.58201979124,25.0,521.0,2.8811284242727224e-09,3599.907312274775,5696.761482470395,1.895,1.439896144434641,-33.56040398601323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40,40,3,10802.670747302518,10802.6706378737,43.0,549.0,2.2725860453197127e-09,3829.3667362201413,5262.327980580308,1.895,5.060284391720792,-3.481430226852285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
43,43,3,10802.870122519931,10802.870012145257,19.0,573.0,1.263652439168768e-08,3627.003043329184,5337.808701405376,1.895,4.940952624413968,-39.90182368532391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49,49,3,10803.39289933027,10803.392784793165,13.0,603.0,2.657969852846446e-09,3588.263021778535,5658.4090838301045,1.895,-1.620634026797085,38.77583958314621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
51,51,3,10803.456262756155,10803.456150335958,31.0,659.0,1.3915845238560858e-08,3602.3790971430108,5602.477623842976,1.895,2.512383221802747,-29.84390149528553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
53,53,3,10803.58213616369,10803.58201979124,25.0,689.0,2.658632062437318e-08,3601.336889391266,5663.441589404483,1.895,1.423817363474826,-33.1856475240909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55,55,3,10803.670746161344,10803.6706378737,43.0,717.0,5.47572745860399e-09,3835.37483477866,5258.194462716815,1.895,6.940681231823946,-4.775126369369575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
58,58,3,10803.870121474632,10803.870012145257,19.0,741.0,1.253964262182018e-08,3632.6264555128014,5297.923544243891,1.895,6.251120541940336,-39.70526627774028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
64,64,3,10804.392901241848,10804.392784793165,13.0,765.0,4.48333384212791e-09,3586.64159530315,5697.203883806994,1.895,-1.621225568545202,38.789993011627246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
66,66,3,10804.456264291484,10804.456150335958,31.0,817.0,2.451456254e-06,3604.8903207624435,5572.647496941699,1.895,2.512135442474528,-29.84095819356318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
68,68,3,10804.582137665624,10804.58201979124,25.0,847.0,3.16802267749547e-08,3603.3237298505082,5630.548546019835,1.895,2.755088564557343,-32.72468568251772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
72,72,3,10804.870128356044,10804.870012145257,19.0,887.0,6.41009289350588e-09,3638.8903273693572,5258.137285392278,1.895,6.264281173056467,-39.788858708809975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
78,78,3,10805.392903190806,10805.392784793165,13.0,907.0,2.244049461036279e-09,3585.0196044733407,5736.012186719338,1.895,-1.621549823375411,38.79775124279594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
80,80,3,10805.456266580086,10805.456150335958,31.0,957.0,1.452820938322101e-07,3607.4017884206087,5542.81447117219,1.895,2.509995247896261,-29.815535417470507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
82,82,3,10805.5821266196,10805.58201979124,25.0,985.0,2.693800293e-06,3606.059551231734,5598.052714148646,1.895,2.725295613140606,-32.370807777026926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
84,84,3,10805.670756117208,10805.6706378737,43.0,1009.0,2.2534984104546233e-09,3853.5873140583844,5247.215126140976,1.895,12.062131188983306,-4.818241963705452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
87,87,3,10805.870118669667,10805.870012145257,19.0,1029.0,5.531704587413733e-09,3645.154262273462,5218.35062608131,1.895,6.248190670164705,-39.686656599992176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
90,90,3,10806.068193540148,10806.068074076204,49.0,1058.0,4.631093159674812e-09,5560.0,5820.0,1.895,-3.702477897933404,-32.14729983117567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
94,94,3,10806.392901551832,10806.392784793165,13.0,1079.0,1.6700531781973953e-09,3584.4157817031723,5774.86769348827,1.895,-0.037707722490183004,38.905667826790285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
96,96,3,10806.456265344588,10806.456150335958,31.0,1143.0,1.965440528507408e-08,3609.9127411706413,5512.987561853178,1.895,2.507657574800107,-29.78776684894064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
98,98,3,10806.582125367682,10806.58201979124,25.0,1170.0,4.137281654247057e-09,3608.768657155875,5565.874205991551,1.895,2.698335529628585,-32.05057841298574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
104,104,3,10807.06818512691,10807.068074076204,49.0,1225.0,1.860785780577973e-09,5560.0,5820.0,1.895,-3.705587567007226,-32.174299982619985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
110,110,3,10807.582136345898,10807.58201979124,25.0,1331.0,1.661169838030051e-09,3611.454690865074,5533.969747457286,1.895,2.67702159308707,-31.79741345744395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
116,116,3,10808.068189686735,10808.068074076204,49.0,1378.0,3.5280943054218613e-09,5560.0,5820.0,1.895,-3.6929962904219673,-32.0649744026161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
121,121,3,10808.456268288217,10808.456150335958,31.0,1442.0,1.090664417083742e-08,3616.010229045259,5453.41877885493,1.895,3.677503746123922,-29.691351282252537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
123,123,3,10808.582128309492,10808.58201979124,25.0,1472.0,5.334976268183506e-09,3614.121030579344,5502.299212362792,1.895,2.65807023913566,-31.57231103811899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
129,129,3,10809.068181231147,10809.068074076204,49.0,1511.0,2.229308437613747e-08,5560.0,5820.0,1.895,-2.140879851639126,-32.25954698321503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
133,133,3,10809.39290224264,10809.392784793165,13.0,1535.0,5.464634146898199e-09,3584.6276482153576,5891.452273086082,1.895,1.655923623283511,38.79711963842775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
135,135,3,10809.456267248695,10809.456150335958,31.0,1583.0,1.327149735564314e-08,3619.6917626302666,5423.694891545467,1.895,3.676236243922362,-29.68111775003667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
137,137,3,10809.582127269605,10809.58201979124,25.0,1611.0,1.281446220917195e-08,3617.168449393162,5470.892022454396,1.895,3.868788020185736,-31.2281622537075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
143,143,3,10810.068181649141,10810.068074076204,49.0,1649.0,3.1937951034565216e-08,5560.0,5820.0,1.895,-2.141590472775269,-32.270254877873924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
148,148,3,10810.456266974008,10810.456150335958,31.0,1732.0,5.093702790239656e-09,3623.370838316425,5393.990848767289,1.895,3.684743397272883,-29.749802623253508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
150,150,3,10810.582126994848,10810.58201979124,25.0,1761.0,2.2745609299114498e-09,3621.022575161762,5439.782211262866,1.895,3.853114047622987,-31.101644761460356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
152,152,3,10810.63658363308,10810.636468096216,61.0,1786.0,9.446556278641286e-09,3603.104602862711,6050.462713124696,1.895,-3.579117336991937,-31.0574067930121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
157,157,3,10811.06819054893,10811.068074076204,49.0,1825.0,1.5466559598643342e-09,5560.0,5820.0,1.895,-1.264056954836808,-32.285830398929306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
161,161,3,10811.392898816137,10811.392784793165,13.0,1850.0,8.86255058774952e-09,3589.1626570628237,5969.03450871884,1.895,2.882762211234023,38.7704133659448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
165,165,3,10811.636580067343,10811.636468096216,61.0,1952.0,1.7774376701023563e-08,3599.5201859423746,6019.359319765638,1.895,-3.576540192816008,-31.03504390084699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
170,170,3,10812.068186983437,10812.068074076204,49.0,1991.0,5.0722007968601255e-08,5560.0,5820.0,1.895,-1.264312947455506,-32.292368818212076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
174,174,3,10812.392895722243,10812.392784793165,13.0,2020.0,1.2795975387269819e-08,3592.0433638806035,6007.777278995266,1.895,2.885794192183747,38.811190629598514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
177,177,3,10812.582133137885,10812.58201979124,25.0,2095.0,5.9779854228204806e-09,3628.6679040107692,5378.070489521054,1.895,3.806090333245026,-30.722077782162152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
183,183,3,10813.068189797892,10813.068074076204,49.0,2159.0,1.8798418507390022e-07,5560.0,5820.0,1.895,-0.018880067373202,-32.40527563540063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
187,187,3,10813.392899007984,10813.392784793165,13.0,2184.0,8.719310428318184e-09,3596.1129651403676,6046.435887419441,1.895,4.084638355084353,38.65489588513223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
189,189,3,10813.456265629864,10813.456150335958,31.0,2238.0,2.1775940800635028e-09,3634.8602939145794,5304.963701156254,1.895,4.657044367540613,-29.582815925626107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
191,191,3,10813.582138650396,10813.58201979124,25.0,2267.0,4.0168348237820894e-09,3632.4644460729223,5347.425483668742,1.895,3.7962315244977303,-30.64249924811416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
193,193,3,10813.636577946192,10813.636468096216,61.0,2292.0,3.8974128364932356e-08,3594.8065003841034,5956.910497014327,1.895,-2.075409504615127,-31.264648443803164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
198,198,3,10814.068185145916,10814.068074076204,49.0,2331.0,1.8753620208915864e-08,5560.0,5820.0,1.895,-0.018841480657512,-32.33904636688297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
204,204,3,10814.582139156018,10814.58201979124,25.0,2404.0,1.7870511328318994e-09,3636.3241586280546,5316.89671106465,1.895,4.307119972974389,-30.478126163277203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206,206,3,10814.636585475859,10814.636468096216,61.0,2424.0,1.85178222227093e-07,3592.862864099637,5925.659941290706,1.895,-1.3917736654996231,-31.221989778881888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
211,211,3,10815.068180094886,10815.068074076204,49.0,2457.0,6.240235317789234e-08,5560.0,5820.0,1.895,-0.018858533199464,-32.36831492357987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
218,218,3,10815.636580183727,10815.636468096216,61.0,2549.0,5.196443358794242e-07,3591.6404900001307,5894.37121641218,1.895,-1.218935110492063,-31.200698159730074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
223,223,3,10816.068188096238,10816.068074076204,49.0,2582.0,1.244774062840148e-08,5560.0,5820.0,1.895,-0.01883275626299,-32.32407202861638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
230,230,3,10816.636578273898,10816.636468096216,61.0,2686.0,9.072105631143145e-08,3591.2277535518883,5863.079071338155,1.895,-0.018215279318806,-31.296126776526876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
235,235,3,10817.068186193752,10817.068074076204,49.0,2750.0,7.486792529755089e-09,5560.0,5820.0,1.895,1.38457080132964,-32.241619160028876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
246,246,3,10818.068186052053,10818.068074076204,49.0,2931.0,1.3830071687398749e-08,5560.0,5820.0,1.895,1.387057542661145,-32.29952632294383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
253,253,3,10818.636574378348,10818.636468096216,61.0,3035.0,1.8184882729654843e-08,3591.191322125028,5800.485326063798,1.895,-0.018204317292683,-31.27729264539649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
258,258,3,10819.068182311728,10819.068074076204,49.0,3103.0,1.4375209779938302e-09,5560.0,5820.0,1.895,1.38494806228523,-32.25040419583322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
265,265,3,10819.636584051375,10819.636468096216,61.0,3192.0,1.645600290152598e-09,3591.1731003131868,5769.17797559424,1.895,-0.018201279422833002,-31.272073209317465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
270,270,3,10820.068188367857,10820.068074076204,49.0,3257.0,2.435815217341325e-09,5560.0,5820.0,1.895,2.712745690253487,-32.22395152905128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
